recorded_time,agg_level,product_type,country,year,quarter,month,brand,brand_tier,parent_company,product_category,total_market_size_rev,market_share_rev_pct,average_unit_price,market_share_unit_sold,market_share_unit_pct
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q4,October,,,,,1322852422.507698,9.806170663511471,,10441267.935295751,9.131319111987716
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q4,November,,,,,1244867133.5925195,9.228073636712525,,13493398.93718167,11.8005334566938
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q4,December,,,,,1383659479.0766745,10.256927198492766,,12712896.867293907,11.117952230747104
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Nike,,,,299813173.3907387,25.35,137.88,2174450.053602689,23.137245668100363
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Skechers,,,,124419510.21974644,10.52,105.0,1184947.7163785377,12.608441556190469
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Jordan Brand,,,,101120419.4276456,8.55,164.52,614639.0677586044,6.540069791155322
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Under Armour,,,,96271370.07497488,8.14,130.62,737033.9157477788,7.8424127268982655
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Adidas,,,,82079030.50618254,6.940000000000001,151.94,540206.8613017148,5.748073560403317
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Asics,,,,73327087.7720939,6.200000000000001,123.37,594367.251131506,6.324367434293757
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Hoka One One,,,,65994378.994884506,5.58,152.39,433062.3990739846,4.608002423596947
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,New Balance,,,,60317443.16736756,5.1000000000000005,118.15,510515.8118270636,5.432145813660854
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Puma,,,,53930890.361411,4.5600000000000005,122.0,442056.4783722213,4.703703965206006
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Saucony,,,,52156847.91531195,4.41,133.8,389812.0173042746,4.147796540004941
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Converse,,,,29567374.101650767,2.5000000000000004,70.15,421487.8703015077,4.484843597641119
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Brooks Sports,,,,25427941.72741966,2.1500000000000004,129.11,196947.88728541287,2.095624888870661
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,On,,,,23653899.281320613,2.0000000000000004,147.86,159974.9714684202,1.702214410250369
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Vans,,,,21288509.35318855,1.7999999999999998,63.72,334094.6226175227,3.5549353488646824
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Allbirds,,,,14192339.568792367,1.2000000000000002,103.86,136648.75379156912,1.454011685150893
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Fila,,,,3716829.207474893,0.3142677799774059,84.13,44179.59357512057,0.4700931660264137
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Reebok,,,,3587789.223138666,0.3033571066206347,109.31,32822.15006073246,0.3492442367449203
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Mizuno,,,,3563687.892098192,0.3013192750771896,139.69,25511.403050312776,0.271454199987278
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Timberland,,,,3038255.776118329,0.2568925943231379,141.51,21470.25493688311,0.2284543451381461
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Salomon,,,,3014008.520052935,0.2548424244313144,123.37,24430.64375498853,0.2599543757983664
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Merrell,,,,2969474.274321309,0.2510769356886787,115.65,25676.388018342488,0.2732097232886858
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Champion,,,,2754872.719091058,0.2329318042938121,87.99,31308.92964076665,0.3331428079957401
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Keds,,,,2712481.2219744134,0.2293474906368988,61.23,44299.872970348086,0.4713729994774414
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Anta Sports,,,,2518401.570140852,0.2129375406725963,126.77,19865.911257717533,0.2113833189357202
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,The North Face,,,,2427139.152104537,0.2052210608693374,140.37,17291.010558556223,0.1839850763553716
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Li-Ning,,,,2415763.235977945,0.2042591969507254,120.95,19973.238825778797,0.2125253384109796
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,La Sportiva,,,,2312050.210602074,0.1954899852328272,165.55,13965.872610100114,0.14860393091757
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Diadora,,,,2064248.8934019883,0.1745377257974643,119.74,17239.426201787108,0.1834361927729593
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Athletic Propulsion Labs,,,,2052404.7839778252,0.1735362748921994,156.02,13154.754415958372,0.139973224090053
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,VEJA,,,,2047597.4051864124,0.1731297982488149,144.46,14174.14789690165,0.1508200850524222
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Lululemon,,,,2042138.2259027236,0.1726682101428741,143.32,14248.801464573846,0.1516144366781907
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Wilson Sporting Goods,,,,2039276.3528380736,0.1724262311752111,132.03,15445.552926138556,0.1643484760386276
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,AND1,,,,1675832.5040156865,0.1416960885885808,79.22,21154.15935389657,0.2250909286521967
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,British Knights,,,,1651873.7589173375,0.1396703130651964,86.63,19068.14912752324,0.2028947273672771
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,K-Swiss,,,,1502073.7179815453,0.1270043217921137,113.39,13246.96814517634,0.1409544246944784
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Macbeth Footwear,,,,1278777.3110728995,0.1081240175976182,115.43,11078.379200146404,0.1178795441787578
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Spira,,,,1176350.1326312318,0.0994635276527275,123.37,9535.139277224866,0.1014586927720784
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Cariuma,,,,1012760.4383150288,0.0856315845662538,119.96,8442.484480785502,0.0898322944495419
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,KangaROOs,,,,1003158.1875005652,0.0848196887599631,118.62,8456.905981289541,0.0899857464911336
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Heelys,,,,957674.2617575332,0.0809739020503739,70.3,13622.67797663632,0.1449521668619784
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Craft,,,,810523.21507503,0.0685318902761285,124.73,6498.221879860739,0.0691443594167901
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Kappa,,,,796875.4842721433,0.0673779383935597,118.15,6744.60841533765,0.0717660364662106
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Topo Athletic,,,,537476.9858270718,0.0454451064862287,137.88,3898.15046291755,0.0414782876995997
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Autry,,,,484211.1275601839,0.040941336715893,108.85,4448.425609188644,0.0473334928919332
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Altra Running,,,,359500.06281900255,0.0303966850068477,152.62,2355.523934078119,0.025063963115436
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Arc'teryx,,,,300740.59143315296,0.0254284156583558,164.64,1826.6556816882471,0.0194365380746403
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Xero Shoes,,,,209098.4707939436,0.0176798309916765,134.25,1557.5305087072147,0.016572910449616
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Lacoste,,,,101403.28892686428,0.0085739173673527,124.73,812.982353298038,0.0086505424214834
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Nike,,,,269390011.56686145,25.350000000000005,126.35,2132093.4829193624,23.137384637149957
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Skechers,,,,111794198.09401904,10.52,96.22,1161860.3002911976,12.608456841987683
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Jordan Brand,,,,90859353.01367515,8.55,150.77,602635.4912361554,6.539773827194841
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Under Armour,,,,86502354.79898429,8.14,119.7,722659.6056723833,7.84227023445455
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Adidas,,,,73750164.90232815,6.940000000000001,139.23,529700.2434987298,5.748283728835744
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Asics,,,,65886314.46605684,6.200000000000001,113.05,582806.8506506576,6.324594292275819
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Hoka One One,,,,59297683.01945116,5.580000000000001,139.65,424616.4197597648,4.607918698658097
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,New Balance,,,,54196807.06078869,5.100000000000001,108.27,500570.86044877337,5.432172946044514
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Puma,,,,48458321.60729342,4.5600000000000005,111.8,433437.5814605852,4.703645557191014
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Saucony,,,,46864297.87021139,4.41,122.61,382222.4767165109,4.14786149463057
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Converse,,,,26567062.284700338,2.5000000000000004,64.28,413302.15128656407,4.48513675516002
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Brooks Sports,,,,22847673.56484229,2.1500000000000004,118.31,193117.0109444873,2.0956973031413235
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,On,,,,21253649.827760268,2.0,135.49,156865.08102266048,1.7022929551800785
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Vans,,,,19128284.84498424,1.7999999999999998,58.4,327539.12405794935,3.554440158349554
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Allbirds,,,,12752189.896656165,1.2000000000000002,95.18,133979.72154503217,1.4539420413785384
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Fila,,,,3339668.6738936985,0.314267779977406,77.1,43316.06580925679,0.4700640396989475
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Reebok,,,,3223722.858438753,0.3033571066206347,100.17,32182.51830327197,0.3492432721830538
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Mizuno,,,,3202067.17942258,0.3013192750771896,128.01,25014.195605207253,0.271452949761901
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Timberland,,,,2729952.6215444235,0.2568925943231379,129.67,21053.07797905779,0.2284670756229663
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Salomon,,,,2708165.8250603075,0.2548424244313144,113.05,23955.469483063316,0.2599637004819392
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Merrell,,,,2668150.6354771308,0.2510769356886787,105.98,25175.982595557,0.2732086550604714
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Champion,,,,2475325.5011045346,0.2329318042938121,80.63,30699.807777558413,0.3331529628163125
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Keds,,,,2437235.627436088,0.2293474906368989,56.11,43436.74260267489,0.4713736189497922
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Anta Sports,,,,2262849.9623199105,0.2129375406725963,116.17,19478.780772315666,0.211382871624693
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,The North Face,,,,2180848.2824991867,0.2052210608693374,128.64,16953.111648780992,0.1839744214579678
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Li-Ning,,,,2170626.723045118,0.2042591969507254,110.83,19585.191040739133,0.2125376311742063
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,La Sportiva,,,,2077437.8454862677,0.1954899852328272,151.7,13694.382633396624,0.1486108376089379
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Diadora,,,,1854781.852916474,0.1745377257974644,109.72,16904.683311305816,0.1834488792711558
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Athletic Propulsion Labs,,,,1844139.609486376,0.1735362748921994,142.98,12897.885085231334,0.1399672812723679
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,VEJA,,,,1839820.0533655477,0.1731297982488149,132.38,13898.0212521948,0.1508207149374216
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Lululemon,,,,1834914.8373813855,0.1726682101428741,131.34,13970.723598152776,0.1516096775959207
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Wilson Sporting Goods,,,,1832343.3692591889,0.1724262311752111,120.99,15144.58524885684,0.1643483725643753
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,AND1,,,,1505779.5244124972,0.1416960885885808,72.6,20740.76479907021,0.2250778667395314
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,British Knights,,,,1484251.962610668,0.1396703130651965,79.38,18698.0594937096,0.2029105186710214
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,K-Swiss,,,,1349652.690990884,0.1270043217921137,103.91,12988.669916185969,0.1409524742621893
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Macbeth Footwear,,,,1149015.0039951836,0.1081240175976182,105.78,10862.308602714917,0.1178772948756033
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Spira,,,,1056981.4936824103,0.0994635276527275,113.05,9349.681500950112,0.1014623321422675
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Cariuma,,,,909991.8562837002,0.0856315845662538,109.93,8277.921006856182,0.0898316344315841
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,KangaROOs,,,,901363.9817019354,0.0848196887599631,108.7,8292.216942980087,0.0899867733011959
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Heelys,,,,860495.479683004,0.080973902050374,64.42,13357.582733359266,0.1449558999172528
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Craft,,,,728276.3989816626,0.0685318902761285,114.3,6371.622038334756,0.0691445619268225
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Kappa,,,,716013.5543665612,0.0673779383935597,108.27,6613.222077829142,0.0717663949219115
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Topo Athletic,,,,482937.1898217909,0.0454451064862287,126.35,3822.2175688309526,0.0414785368303002
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Autry,,,,435076.4170200077,0.040941336715893,99.75,4361.668341052709,0.0473326328676898
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Altra Running,,,,323020.24953013647,0.0303966850068477,139.86,2309.597093737569,0.0250636460093109
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Arc'teryx,,,,270223.321038716,0.0254284156583558,150.87,1791.100424462889,0.0194369429748534
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Xero Shoes,,,,187880.46845553824,0.0176798309916765,123.02,1527.2351524592607,0.0165734886565303
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Lacoste,,,,91113.51868893424,0.0085739173673527,114.3,797.1436455724781,0.0086505677571961
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Nike,,,,239113967.01794007,25.35,128.1,1866619.5707879788,23.136796745585723
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Skechers,,,,99229938.18653768,10.52,97.55,1017221.3038086896,12.608483763815968
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Jordan Brand,,,,80647906.0356366,8.55,152.85,527627.779101319,6.539959654038488
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Under Armour,,,,76780579.547378,8.14,121.35,632720.0621951217,7.842581158453782
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Adidas,,,,65461575.19149919,6.940000000000001,141.16,463740.2606368602,5.748072248364258
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Asics,,,,58481522.50537391,6.200000000000001,114.61,510265.4437254507,6.324753068343804
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Hoka One One,,,,52633370.25483652,5.58,141.58,371757.1002601816,4.607938651268506
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,New Balance,,,,48105768.512485,5.100000000000001,109.77,438241.4914137287,5.432014359541661
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Puma,,,,43012216.55233952,4.5600000000000005,113.35,379463.754321478,4.7034628230897
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Saucony,,,,41597341.00785466,4.41,124.3,334652.7836512845,4.148029709350837
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Converse,,,,23581259.074747544,2.5,65.17,361842.2445104733,4.485043763722691
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Brooks Sports,,,,20279882.80428289,2.1500000000000004,119.95,169069.46898109952,2.095620340061315
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,On,,,,18865007.259798035,2.0,137.37,137329.89196912016,1.7022074810034673
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Vans,,,,16978506.53381823,1.7999999999999998,59.2,286799.0968550377,3.5548820523463114
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Allbirds,,,,11319004.35587882,1.2,96.49,117307.53814777512,1.4540298994638592
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Fila,,,,2964331.9753971878,0.314267779977406,78.16,37926.45823179616,0.4700994081073444
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Reebok,,,,2861417.0093548005,0.3033571066206347,101.55,28177.420082272776,0.3492598339056957
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Mizuno,,,,2842195.155924132,0.3013192750771896,129.78,21900.101370967262,0.2714523098640256
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Timberland,,,,2423140.3284471733,0.2568925943231379,131.47,18431.127469743464,0.2284542907044626
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Salomon,,,,2403802.09350064,0.2548424244313144,114.61,20973.755287502307,0.2599702267526016
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Merrell,,,,2368284.1072673835,0.2510769356886786,107.45,22040.80137056662,0.2731962899142616
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Champion,,,,2197130.08952031,0.232931804293812,81.75,26876.20904612,0.3331312902336336
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Keds,,,,2163321.0379407792,0.2293474906368988,56.89,38026.38491722234,0.4713380018981455
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Anta Sports,,,,2008534.125336034,0.2129375406725963,117.77,17054.71788516629,0.2113936591245662
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,The North Face,,,,1935748.4015817528,0.2052210608693374,130.41,14843.558021484188,0.1839862767427274
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Li-Ning,,,,1926675.616677976,0.2042591969507254,112.37,17145.818427320246,0.2125228526464893
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,La Sportiva,,,,1843959.995317548,0.1954899852328272,153.8,11989.33677059524,0.1486081322176104
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Diadora,,,,1646327.7321389022,0.1745377257974644,111.24,14799.781842313036,0.1834436698957663
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Athletic Propulsion Labs,,,,1636881.5428398242,0.1735362748921993,144.95,11292.732272092611,0.1399737018568957
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,VEJA,,,,1633047.450425631,0.1731297982488149,134.21,12167.852249650778,0.1508208360912258
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Lululemon,,,,1628693.5189408269,0.1726682101428741,133.15,12232.020420133886,0.1516162021857627
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Wilson Sporting Goods,,,,1626411.0514499857,0.1724262311752111,122.67,13258.425462215584,0.1643385186175269
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,AND1,,,,1336548.869954281,0.1416960885885808,73.6,18159.631385248384,0.2250890898769939
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,British Knights,,,,1317440.7349765978,0.1396703130651964,80.48,16369.790444540233,0.202903966191287
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,K-Swiss,,,,1197968.7263169754,0.1270043217921137,105.34,11372.401047246776,0.140961198337999
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Macbeth Footwear,,,,1019880.1884687992,0.1081240175976182,107.24,9510.25912410294,0.1178799021481034
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Spira,,,,938190.0856269136,0.0994635276527275,114.61,8185.935656809296,0.1014648793080463
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Cariuma,,,,807720.2322551943,0.0856315845662538,111.45,7247.377588651362,0.0898314283377809
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,KangaROOs,,,,800062.0221152573,0.0848196887599631,110.2,7260.090944784549,0.0899890107082923
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Heelys,,,,763786.62501724,0.0809739020503739,65.31,11694.788317520131,0.1449571966991059
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Craft,,,,646427.3037934237,0.0685318902761285,115.88,5578.419949891471,0.0691446562341971
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Kappa,,,,635542.6484723644,0.0673779383935597,109.77,5789.766315681556,0.0717642997784568
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Topo Athletic,,,,428661.1318924996,0.0454451064862287,128.1,3346.300795413736,0.041477482913348
