recorded_time,agg_level,product_type,country,year,quarter,month,brand,total_market_size_rev,market_share_rev_pct,average_unit_price,market_share_unit_sold,market_share_unit_pct
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,On,12415040.015394028,1.0,158.79,78185.27624783694,0.861897817068631
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Allbirds,6207520.007697014,0.4999999999999999,111.55,55647.870978906445,0.6134502661242847
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Salomon,3697504.420311027,0.2978246075507051,132.49,27907.79998725207,0.3076496374068383
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Reebok,3321038.8326746747,0.2675012588406281,117.39,28290.645137359865,0.3118700407230235
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,The North Face,3193422.167360604,0.2572220599692727,150.76,21182.158180953866,0.2335075959710721
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Fila,2848368.707611344,0.2294288785279394,90.36,31522.45139012111,0.3474967838659913
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,La Sportiva,2698337.31416766,0.2173442301290899,177.79,15177.103966295406,0.1673091585237645
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Timberland,2668859.55070529,0.2149698710109703,151.97,17561.752653190037,0.1935970172657987
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Merrell,2660613.1821036725,0.2143056469253941,124.21,21420.28163677379,0.2361326181825875
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Champion,2611947.039578888,0.210385712518059,94.5,27639.651212475,0.3046936224802251
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Mizuno,2611946.3875369127,0.2103856599977309,150.03,17409.49401810913,0.1919185505326238
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Keds,2592170.4143560603,0.2087927554918791,65.76,39418.64985334641,0.4345427923372199
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Lululemon,2162324.008988299,0.1741697172386979,153.92,14048.3628442587,0.1548661570302966
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Diadora,2052405.05234933,0.1653160239358431,128.59,15960.84495177953,0.1759489520623167
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,VEJA,2003113.2875021184,0.1613456972364453,155.14,12911.649397332209,0.1423352703268604
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Anta Sports,1926558.427834312,0.1551793973636392,136.14,14151.303274822329,0.1560009503910011
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,K-Swiss,1838768.0169800192,0.1481081023258917,121.77,15100.336839780071,0.1664628940870122
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Wilson Sporting Goods,1838588.0400218307,0.1480936056381673,141.8,12966.065162354234,0.1429351381195882
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Li-Ning,1752203.0723767036,0.1411355154879935,129.89,13489.899702646117,0.1487097784156915
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,AND1,1666698.8577385258,0.1342483677597416,85.08,19589.784411595272,0.215953607015185
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Athletic Propulsion Labs,1467609.8565520411,0.1182122534226452,167.56,8758.712440630467,0.096554178679136
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Spira,1323607.0366223569,0.1066131913373738,132.49,9990.241049304526,0.1101302875120712
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,British Knights,1282781.0740736648,0.1033247635515536,93.04,13787.414811625804,0.1519895215499574
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,KangaROOs,1191214.050255146,0.0959492719135903,127.39,9350.922758891167,0.103082578974563
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Macbeth Footwear,1183564.0796700828,0.095333086176325,123.97,9547.181412197167,0.1052460925283051
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Craft,1041644.5552892494,0.0839018282661725,133.95,7776.368460539376,0.0857250280681289
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Cariuma,929065.612428846,0.0748338798164847,128.84,7211.002890630596,0.0794925585555124
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Heelys,893050.4713805519,0.0719329515066575,75.5,11828.483064643073,0.1303946755950892
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Topo Athletic,673360.4756403421,0.0542374792836276,148.08,4547.274957052553,0.0501281896948324
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Kappa,659828.0601964185,0.0531474775255065,126.89,5200.000474398444,0.0573236966437636
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Autry,532149.4476277898,0.0428632889598383,116.9,4552.176626413941,0.0501822246528874
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Altra Running,469870.07224015496,0.037846843156167,163.91,2866.6345692157583,0.0316011683543663
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Arc'teryx,369185.8472282839,0.0297369840750019,176.82,2087.919054565569,0.0230167745349093
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Xero Shoes,221640.3513443089,0.0178525684226136,144.18,1537.2475471237958,0.0169462892343078
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Lacoste,104994.2992964366,0.0084570246383619,133.95,783.8320216232671,0.0086407971015422
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Nike,298179553.5219408,26.73,131.1,2274443.581403057,24.70521358617294
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Skechers,113894995.9393571,10.21,99.83,1140889.4714951126,12.392445476319711
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Jordan Brand,100397156.06799352,9.0,156.44,641761.4169521447,6.9708710327240535
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Under Armour,95600403.05585606,8.57,124.2,769729.4932033499,8.360871946287025
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Adidas,81544801.20633696,7.31,144.47,564441.0687778568,6.131010360064646
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Asics,71728190.3907998,6.429999999999998,117.3,611493.5242182421,6.642098421739723
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Hoka One One,65481256.235458,5.869999999999999,144.9,451906.53026541055,4.908649940793949
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,New Balance,58565007.706329554,5.25,112.34,521319.2781407295,5.662617537917228
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Puma,53545149.90292988,4.8,116.01,461556.3305140064,5.013466951052959
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Saucony,50198578.03399676,4.5,127.22,394580.8680553117,4.285973370379463
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Converse,22310479.126220785,2.0,66.7,334489.9419223506,3.6332602510723
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Brooks Sports,20637193.191754226,1.85,122.76,168110.07813419864,1.826026998538068
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Vans,15951992.57524786,1.43,60.59,263277.6460677977,2.8597457996990188
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,On,11155239.563110393,1.0,140.59,79345.89631631263,0.8618623612864443
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Allbirds,5577619.781555196,0.5,98.76,56476.50649610365,0.6134529636151338
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Salomon,3322304.8450174523,0.2978246075507051,117.3,28323.14445880181,0.3076485778799053
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Reebok,2984040.6258008094,0.2675012588406282,103.93,28712.02372559232,0.3118726199374212
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,The North Face,2869373.6998739857,0.2572220599692728,133.47,21498.267025353904,0.2335161368418338
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Fila,2559334.102674918,0.2294288785279394,80.0,31991.67628343647,0.3474965050900246
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,La Sportiva,2424526.954749794,0.2173442301290899,157.41,15402.623434024486,0.1673047002951945
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Timberland,2398040.4099783143,0.2149698710109703,134.55,17822.671200136112,0.1935914798132191
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Merrell,2390630.831180124,0.2143056469253941,109.97,21738.93635700758,0.2361303090687297
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Champion,2346903.0237946217,0.210385712518059,83.66,28052.86903890296,0.3047128216227312
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Mizuno,2346902.43791778,0.2103856599977309,132.82,17669.7970028443,0.1919309463417408
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Keds,2329133.2065538443,0.2087927554918791,58.22,40005.72323177335,0.4345458138383845
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Lululemon,1942904.9204368736,0.1741697172386979,136.28,14256.713534171366,0.1548577224682407
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Diadora,1844139.8506252223,0.1653160239358432,113.85,16197.978485948372,0.1759439193970814
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,VEJA,1799849.9051496258,0.1613456972364453,137.35,13104.11288787496,0.1423380691432952
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Anta Sports,1731063.3528504968,0.1551793973636392,120.53,14362.09535261343,0.1560023893898552
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,K-Swiss,1652181.3626829898,0.1481081023258917,107.81,15324.93611615796,0.1664608535642743
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Wilson Sporting Goods,1652019.6486585531,0.1480936056381674,125.54,13159.30897449859,0.1429376140694949
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Li-Ning,1574400.486131645,0.1411355154879935,115.0,13690.439009840393,0.1487067969467665
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,AND1,1497572.7033164634,0.1342483677597416,75.32,19882.80275247561,0.2159688165967347
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Athletic Propulsion Labs,1318686.0062247247,0.1182122534226453,148.35,8889.019253284292,0.0965533377128317
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Spira,1189295.6899561314,0.1066131913373738,117.3,10138.923188031811,0.1101299082299543
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,British Knights,1152612.4902193178,0.1033247635515536,82.37,13993.1102369712,0.151994439416246
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,KangaROOs,1070337.114102119,0.0959492719135903,112.79,9489.645483660956,0.103077394597883
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Macbeth Footwear,1063463.4145875538,0.095333086176325,109.75,9689.871659112108,0.1052522695741231
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Craft,935944.9940921012,0.0839018282661725,118.59,7892.275858774781,0.0857266200693129
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Cariuma,834789.8567898993,0.0748338798164847,114.07,7318.224395458046,0.0794912207274016
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Heelys,802429.3065383679,0.0719329515066575,66.84,12005.226010448352,0.1304018596739357
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Topo Athletic,605032.0747081037,0.0542374792836276,131.1,4615.04252256372,0.0501290127226955
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Kappa,592872.843972051,0.0531474775255065,112.34,5277.486594018614,0.0573245406346657
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Autry,478150.2568098213,0.0428632889598383,103.5,4619.809244539336,0.0501807892914688
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Altra Running,422190.6021145079,0.037846843156167,145.12,2909.2516683745034,0.0316005569145771
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Arc'teryx,331723.1812410451,0.0297369840750019,156.54,2119.095319030568,0.0230178065941799
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Xero Shoes,199149.6775710756,0.0178525684226137,127.65,1560.1228168513562,0.0169461963031846
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Lacoste,94340.1358320544,0.0084570246383619,118.59,795.5151010376456,0.0086409575699552
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Nike,285632322.9725601,26.73,134.84,2118305.569360428,24.705011953398333
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Skechers,109102357.55891654,10.21,102.68,1062547.307741688,12.39209503977996
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Jordan Brand,96172499.3173603,8.999999999999998,160.9,597715.9684111889,6.97093958394015
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Under Armour,91577591.01664196,8.569999999999999,127.74,716906.1454254108,8.361010398300074
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Adidas,78113441.11221153,7.309999999999999,148.59,525697.8337183627,6.131018798108995
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Asics,68709907.84562519,6.43,120.65,569497.785707627,6.64184138815664
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Hoka One One,62725841.221433885,5.869999999999999,149.03,420894.0563741118,4.908731225673089
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,New Balance,56100624.60179351,5.25,115.54,485551.53714552114,5.662807435658496
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Puma,51291999.63592549,4.8,119.31,429905.2856921088,5.013825849997352
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Saucony,48086249.65868015,4.499999999999999,130.85,367491.3997606431,4.2859158542452045
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Converse,21371666.51496896,2.0,68.6,311540.3282065446,3.6333792648395535
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Brooks Sports,19768791.526346285,1.85,126.26,156572.0855880428,1.826042145179739
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Vans,15280741.558202803,1.43,62.32,245198.03527283063,2.8596537156789994
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,On,10685833.25748448,1.0,144.6,73899.26180832973,0.861859673471623
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Allbirds,5342916.628742239,0.5,101.57,52603.29456278665,0.6134927083981329
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Salomon,3182504.096262588,0.2978246075507051,120.65,26377.986707522487,0.3076366726036986
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Reebok,2858473.848138149,0.2675012588406282,106.9,26739.699234220287,0.3118551916054029
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,The North Face,2748632.0429783217,0.2572220599692727,137.28,20022.08656015677,0.2335101672559902
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Fila,2451638.740401221,0.2294288785279394,82.28,29796.289990291945,0.3475030755828767
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,La Sportiva,2322504.2026357898,0.2173442301290899,161.9,14345.300819245149,0.1673039212758852
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Timberland,2297132.197006176,0.2149698710109703,138.39,16598.975337858054,0.1935876910618521
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Merrell,2290034.409182104,0.2143056469253941,113.1,20247.8727602308,0.2361434279396343
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Champion,2248146.643725044,0.210385712518059,86.05,26126.05047908244,0.3046984338410141
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Mizuno,2248146.082501576,0.2103856599977309,136.61,16456.6728826702,0.1919280703219249
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Keds,2231124.570556947,0.2087927554918791,59.88,37259.929368018486,0.4345487325974408
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Lululemon,1861148.5569159463,0.1741697172386979,140.16,13278.74255790487,0.1548650479723689
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Diadora,1766539.466568733,0.1653160239358431,117.1,15085.734129536577,0.1759393202693208
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,VEJA,1724113.217481229,0.1613456972364453,141.27,12204.38321994216,0.142335193606444
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Anta Sports,1658221.1652247754,0.1551793973636392,123.97,13375.98745845588,0.1559991791691467
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,K-Swiss,1582658.485536928,0.1481081023258917,110.89,14272.328303155631,0.1664528698939048
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Wilson Sporting Goods,1582503.5763491197,0.1480936056381673,129.12,12256.068590064431,0.142937980902647
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Li-Ning,1508150.5852138172,0.1411355154879935,118.28,12750.681308875695,0.1487064655383289
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,AND1,1434555.6729700542,0.1342483677597416,77.47,18517.56386949857,0.2159634773003516
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Athletic Propulsion Labs,1263196.429065887,0.1182122534226453,152.58,8278.912236635775,0.096553881897679
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Spira,1139250.785679466,0.1066131913373738,120.65,9442.609081470917,0.1101256464615914
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,British Knights,1104111.194680912,0.1033247635515536,84.72,13032.473969321434,0.151992908790609
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,KangaROOs,1025297.9208456648,0.0959492719135903,116.0,8838.775179704007,0.1030833556907076
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Macbeth Footwear,1018713.462801608,0.095333086176325,112.88,9024.747189950462,0.105252278249658
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Craft,896560.9468504174,0.0839018282661725,121.98,7350.065148798306,0.0857210829191859
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Cariuma,799662.3617295895,0.0748338798164847,117.32,6816.078773692376,0.0794933979379644
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Heelys,768663.5255188597,0.0719329515066575,68.75,11180.560371183414,0.1303947275648124
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Topo Athletic,579572.659931114,0.0542374792836276,134.84,4298.225006905324,0.0501286035923762
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Kappa,567925.0828934668,0.0531474775255065,115.54,4915.397982460332,0.0573264630319869
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Autry,458029.9586922076,0.0428632889598383,106.45,4302.770866061132,0.0501816202611737
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Altra Running,404425.05528896814,0.037846843156167,149.25,2709.71561332642,0.0316024078800639
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Arc'teryx,317764.45340594184,0.0297369840750019,161.01,1973.5696752123583,0.0230170109176962
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Xero Shoes,190769.56938188267,0.0178525684226136,131.29,1453.0396022688908,0.0169462617962395
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,March,Lacoste,90370.3551399736,0.0084570246383619,121.98,740.8620686995703,0.0086403994436782
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q2,April,Nike,258055090.5335822,26.73,141.36,1825517.052444696,24.70533443976369
